categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori_split
Scarpe Sportive,35.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,47.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5,MORPHIC,scarpe da corsa su strada,white
Scarpe Sportive,35.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,47.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5,MORPHIC,scarpe da corsa su strada,warm white
Scarpe Sportive,35.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,47.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5,MORPHIC,scarpe da corsa su strada,sun struck
Scarpe Sportive,35.5,uomo,PUMA,PROSPECT UNISEX - Scarpe da allenamento - black/yellow alert/white,48.95,70.0,https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-blackyellow-alertwhite-pu144a0bz-q12.html?size=35.5,PROSPECT UNISEX,scarpe da allenamento,black/yellow alert/white
Scarpe Sportive,35.5,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=35.5,PWR HYBRID TR UNISEX,scarpe da allenamento,black
Scarpe Sportive,35.5,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=35.5,PWR HYBRID TR UNISEX,scarpe da allenamento,white
Scarpe Sportive,35.5,uomo,UNDER ARMOUR,JET '23 - Scarpe da basket - black,60.0,60.0,https://www.zalando.it/under-armour-court-performance-ua-gs-jet-scarpe-da-basket-black-un243a04a-q11.html?size=35.5,JET '23,scarpe da basket,black
Scarpe Sportive,35.5,uomo,PUMA,ELIMINATE TURBO - Scarpe da pallamano - white/bluemazing,101.99,119.99,https://www.zalando.it/puma-eliminate-turbo-scarpe-da-pallamano-whitebluemazing-pu142a1u7-a11.html?size=35.5,ELIMINATE TURBO,scarpe da pallamano,white/bluemazing
Scarpe Sportive,35.5,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - black/white/lavender alert,43.95,55.0,https://www.zalando.it/puma-anzarun-scarpe-da-corsa-su-strada-black-white-lavender-alert-pu144a07j-q16.html?size=35.5,ANZARUN LITE,scarpe da corsa su strada,black/white/lavender alert
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white pinktastic,39.99,39.99,https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-pinktastic-pu115i000-a14.html?size=35.5,POPCAT UNISEX,ciabatte da mare,white pinktastic
